Generation, ID,x1, y1, z1, power1, velocity1, x2, y2, z2, power2, velocity2, x3, y3, z3, power3, velocity3, fitness(distance from start), parent1, parent2
0.000000000000000000e+00,9.500000000000000000e+01,7.079250490261081996e-01,7.175468254338219776e-01,4.226520048860222811e-01,-2.507747707470575627e+00,8.129299578571181684e+00,6.515681292900439292e-01,8.282449205941611048e-01,7.293468158094724707e-01,-6.741311458371406218e+00,5.352843737002149105e+00,7.212096391031578291e-01,4.132556552708109288e-01,6.928877906367316708e-01,8.804604828499151381e+00,7.877370889379395003e+00,2.305097893019146138e+00,nan,nan
0.000000000000000000e+00,9.600000000000000000e+01,5.940849631032609768e-01,7.216441092211766106e-01,6.291264452457583367e-01,9.123357863186987160e-01,9.707324043882625375e+00,5.930513189003872032e-01,8.805952819119571284e-01,8.526753209780318921e-01,-6.084177304214071214e+00,5.346806504375827274e+00,4.503890006887133479e-01,4.091109128257748861e-01,4.472214803779642200e-01,3.660135468327136987e+00,5.355943242301145268e+00,2.071014166852110261e+00,nan,nan
0.000000000000000000e+00,9.700000000000000000e+01,5.594878151468807292e-01,8.224376554847272480e-01,4.116359678679129552e-01,6.289369651778715209e+00,6.409273873866999871e+00,4.590824138108281494e-01,7.483685826820754006e-01,7.144714233899420730e-01,7.549440270541058595e+00,8.675355219019429853e+00,8.017404651924242565e-01,5.410172862856532650e-01,4.887197718898614318e-01,5.012295032817166707e+00,9.034173696336321058e+00,2.017697417312446895e+00,nan,nan
0.000000000000000000e+00,9.800000000000000000e+01,8.952525710003367276e-01,6.063088384557132615e-01,5.860090428963915521e-01,5.528259214839936320e+00,6.704017701265089002e+00,8.653786628017823279e-01,8.292063759215059227e-01,6.144970136875091971e-01,5.017421355829947416e+00,8.772714370423411623e+00,4.515619344179663264e-01,8.512764533397834121e-01,6.526261862239286504e-01,6.529149322154832902e+00,6.600248005153058983e+00,2.016687353636768432e+00,nan,nan
0.000000000000000000e+00,9.900000000000000000e+01,8.477616142481002592e-01,5.946008393670816350e-01,4.054188257401492024e-01,8.107639528385274019e+00,5.456433383930667347e+00,5.596568187952074558e-01,8.750309835254024282e-01,8.753035734687780733e-01,1.468757762465722205e+00,8.159186060848995226e+00,6.242227609891599638e-01,5.466053858490322881e-01,5.643322726849580029e-01,3.450369121540768358e+00,8.761872647188400975e+00,1.932040696063015872e+00,nan,nan
0.000000000000000000e+00,1.000000000000000000e+02,7.957895218629242873e-01,7.948090713972769672e-01,4.456030515243452061e-01,-1.115939059483705975e-01,5.287793800083221640e+00,6.747644411618678451e-01,6.207652506866885300e-01,8.438520913791498490e-01,-2.981699748958426266e+00,5.585335082138029428e+00,4.714958410264179500e-01,7.807553158587361430e-01,7.091090316581305508e-01,-7.977546477544194659e+00,5.420534030574986950e+00,1.896406288274387064e+00,nan,nan
0.000000000000000000e+00,1.010000000000000000e+02,7.504845657295600159e-01,4.363815031820967860e-01,8.109300296451781298e-01,4.124844543129924546e+00,5.406743903209498825e+00,4.424188570425959810e-01,8.933197892505877480e-01,5.871353978780602390e-01,-2.587157058662181708e+00,9.063997836287512655e+00,8.736242886919294293e-01,8.930005319114354689e-01,7.766890926294708342e-01,-2.474808289381684734e+00,5.417503583493344266e+00,1.847313610911083259e+00,nan,nan
0.000000000000000000e+00,1.020000000000000000e+02,7.885734579637184716e-01,6.792021248679025458e-01,6.121110046234881086e-01,8.127087701894719629e+00,5.555987411530757036e+00,6.463125521454295974e-01,4.056768223837095566e-01,6.343303209970632128e-01,-8.873934486363253882e+00,5.594089581340359274e+00,4.587631233885524629e-01,7.246051510580318045e-01,7.730224396327116665e-01,1.667375301943192500e+00,9.810862742372709278e+00,1.732021757234496029e+00,nan,nan
0.000000000000000000e+00,1.030000000000000000e+02,5.874352897618519975e-01,5.428560431409303888e-01,8.342995640947301617e-01,-5.528083229610947669e+00,9.816112697203056570e+00,4.060772373449081929e-01,8.849394133538195373e-01,4.215799559752880787e-01,7.822862273961421309e+00,7.638505545431499399e+00,8.964823980596501318e-01,4.368982823676994531e-01,6.769271422006604144e-01,9.386050712381980077e+00,7.615489220850744090e+00,1.636333656459127983e+00,nan,nan
0.000000000000000000e+00,1.040000000000000000e+02,7.146993190676312890e-01,7.478743444923086070e-01,6.272705323838866365e-01,2.551161601681268820e+00,7.921571559615500746e+00,8.505790052454944572e-01,4.227231901707289574e-01,5.404815947961152389e-01,9.008229681531174649e+00,9.451318919454582357e+00,6.278283763928564909e-01,7.100662989007684445e-01,5.386905914905664172e-01,-6.237576805524773782e+00,7.318492024699910559e+00,1.596287780621627350e+00,nan,nan
